uuid;quantity;unit;name;category
cb369a7d5b20b4bfb427;1;tbsp;golden syrup sugar;Bakery
5abd684ef293eb899341;2;tbsp;golden syrup sugar;Bakery
66c0531c06a9f27a851a;1;tbsp;honey;Bakery
755985659b42a5effc69;175;g;light brown sugar;Bakery
cb369a7d5b20b4bfb427;75;g;light brown sugar;Bakery
9f28504dfe4ea469ead6;100;g;light brown sugar;Bakery
78618932bf1e6eb7049d;50;g;light brown sugar;Bakery
397e7921ba58f77a9ce1;85;g;light brown sugar;Bakery
9f28504dfe4ea469ead6;375;g;puff pastry;Bakery
286a7c7866ffa2650643;140;g;sugar;Bakery
f17672605ba58e226ff9;50;g;sugar;Bakery
5abd684ef293eb899341;225;g;sugar;Bakery
992b01ee1b5c69845eec;100;g;sugar;Bakery
992b01ee1b5c69845eec;25;g;sugar;Bakery
12f84704141e5efcd98d;10;g;sugar;Bakery
4dc3a8de1fe1e7c78276;10;g;sugar;Bakery
ef43008554b87ff9d590;10;g;sugar;Bakery
18c4a29debd67599b36a;400;ml;coconut milk;Beverage
fbd0c5b8660e5b1815d9;250;ml;red wine;Beverage Alcoholic
02f1939873c5ed70986c;200;ml;red wine;Beverage Alcoholic
19d959d6874b812a9094;125;ml;red wine;Beverage Alcoholic
194dd9e1bf7694493015;225;ml;red wine;Beverage Alcoholic
cacfe28b4d2c6964be85;1;tbsp;Somerset Pomona;Beverage Alcoholic
cacfe28b4d2c6964be85;2;tbsp;Somerset Pomona;Beverage Alcoholic
fbd0c5b8660e5b1815d9;250;ml;white wine;Beverage Alcoholic
8978cc0ca9193bb8d7f3;100;ml;white wine;Beverage Alcoholic
f72acec0c134474aa129;175;ml;white wine;Beverage Alcoholic
cb63700d3badc09031a7;3;tbsp;pesto;Canned Goods
bce50bc9645667072133;350;g;tomato sauce;Canned Goods
18e04b3fff1325b4d244;2;tbsp;tomato sauce;Canned Goods
0528174c0168ac50d4d4;1;tbsp;tomato sauce;Canned Goods
19d959d6874b812a9094;2;tbsp;tomato sauce;Canned Goods
194dd9e1bf7694493015;2;tbsp;tomato sauce;Canned Goods
381784f839eae80dffe7;200;g;tomato sauce;Canned Goods
4dc3a8de1fe1e7c78276;1;tbsp;fish sauce;Condiment
24d25b308700d23f709b;2;tbsp;olive oil;Condiment
8b1fcfc80c7231df0d48;1;tbsp;olive oil;Condiment
f72acec0c134474aa129;2;tbsp;olive oil;Condiment
2346df08e1939e37ed64;2;tbsp;olive oil;Condiment
66c0531c06a9f27a851a;2;tbsp;olive oil;Condiment
781874bcf5aac010e8ff;2;tbsp;olive oil;Condiment
99b55a0d8e297048cfc0;3;tbsp;olive oil;Condiment
18e04b3fff1325b4d244;1;tbsp;olive oil;Condiment
4324264498e040b4fdc7;1;tbsp;olive oil;Condiment
