uuid;quantity;unit;name;category
90ac7efc29a9119aeb46;200;ml;coffee;Beverage
bcae96dc1c0b90eda57d;300;ml;coffee;Beverage
b3802daafb8b2121e09b;5;tbsp;coffee;Beverage
09b214104c84283f8cb2;1;tbsp;lemon juice;Beverage
cddb55c884fb48f86bf5;2;tbsp;coffee;Beverage
a97e4fe8fd9ce7d8fd75;1;tbsp;red wine;Beverage Alcoholic
abb9c496dc6a551a5534;200;ml;red wine;Beverage Alcoholic
bcae96dc1c0b90eda57d;75;ml;marsala wine;Beverage Alcoholic
90ac7efc29a9119aeb46;150;ml;marsala wine;Beverage Alcoholic
837b068723364c202aff;100;ml;marsala wine;Beverage Alcoholic
fbd0c5b8660e5b1815d9;250;ml;red wine;Beverage Alcoholic
02f1939873c5ed70986c;200;ml;red wine;Beverage Alcoholic
19d959d6874b812a9094;125;ml;red wine;Beverage Alcoholic
194dd9e1bf7694493015;225;ml;red wine;Beverage Alcoholic
a2f6240a66ab428e6d61;500;ml;red wine;Beverage Alcoholic
cacfe28b4d2c6964be85;1;tbsp;Somerset Pomona;Beverage Alcoholic
cacfe28b4d2c6964be85;2;tbsp;Somerset Pomona;Beverage Alcoholic
b3802daafb8b2121e09b;3;tbsp;brandy;Beverage Alcoholic
db57f1743fa154618cd2;3;tbsp;rum;Beverage Alcoholic
b3802daafb8b2121e09b;6;tbsp;marsala wine;Beverage Alcoholic
837b068723364c202aff;34;tbsp;marsala wine;Beverage Alcoholic
6513ebd3b361cf93593b;4;tbsp;sherry;Beverage Alcoholic
cddb55c884fb48f86bf5;5;tbsp;marsala wine;Beverage Alcoholic
cddb55c884fb48f86bf5;2;tbsp;marsala wine;Beverage Alcoholic
0dda049dc7ae42af6c05;1;tbsp;bicarbonate of soda;Beverage Alcoholic
fbd0c5b8660e5b1815d9;250;ml;white wine;Beverage Alcoholic
8978cc0ca9193bb8d7f3;100;ml;white wine;Beverage Alcoholic
f72acec0c134474aa129;175;ml;white wine;Beverage Alcoholic
837b068723364c202aff;100;ml;white wine;Beverage Alcoholic
cb63700d3badc09031a7;3;tbsp;pesto;Canned Goods
236a6329caba80c14040;4;tbsp;pesto;Canned Goods
bce50bc9645667072133;350;g;tomato sauce;Canned Goods
18e04b3fff1325b4d244;2;tbsp;tomato sauce;Canned Goods
0528174c0168ac50d4d4;1;tbsp;tomato sauce;Canned Goods
19d959d6874b812a9094;2;tbsp;tomato sauce;Canned Goods
194dd9e1bf7694493015;2;tbsp;tomato sauce;Canned Goods
381784f839eae80dffe7;200;g;tomato sauce;Canned Goods
2ca0b7790c3238d9f9a3;1;tbsp;tomato sauce;Canned Goods
2aa986ba97ac6c0ba09f;400;g;tomato sauce;Canned Goods
6a273fc5bda281a1050d;400;g;tomato sauce;Canned Goods
747c44e9b1a166711116;400;g;tomato sauce;Canned Goods
abb9c496dc6a551a5534;400;g;tomato sauce;Canned Goods
806207e9e1d8ac85f24e;30;ml;balsamic vinegar;Condiment
0dda049dc7ae42af6c05;100;g;black treacle;Condiment
806207e9e1d8ac85f24e;80;ml;olive oil;Condiment
4dc3a8de1fe1e7c78276;1;tbsp;fish sauce;Condiment
de4fd04b5b2a6b3ad7bd;1;tbsp;mayonnaise;Condiment
99734819eaeb59e8d748;1;tbsp;olive oil;Condiment
666995576ae7c8be50c7;1;tbsp;olive oil;Condiment
729cd47fa972c76a1f7c;1;tbsp;olive oil;Condiment
24d25b308700d23f709b;2;tbsp;olive oil;Condiment
8b1fcfc80c7231df0d48;1;tbsp;olive oil;Condiment
f72acec0c134474aa129;2;tbsp;olive oil;Condiment
2346df08e1939e37ed64;2;tbsp;olive oil;Condiment
66c0531c06a9f27a851a;2;tbsp;olive oil;Condiment
781874bcf5aac010e8ff;2;tbsp;olive oil;Condiment
99b55a0d8e297048cfc0;3;tbsp;olive oil;Condiment
18e04b3fff1325b4d244;1;tbsp;olive oil;Condiment
4324264498e040b4fdc7;1;tbsp;olive oil;Condiment
a2f4e2e307aa28f20b89;1;tbsp;olive oil;Condiment
cb63700d3badc09031a7;1;tbsp;olive oil;Condiment
02f1939873c5ed70986c;1;tbsp;olive oil;Condiment
0528174c0168ac50d4d4;3;tbsp;olive oil;Condiment
19d959d6874b812a9094;1;tbsp;olive oil;Condiment
194dd9e1bf7694493015;1;tbsp;olive oil;Condiment
31ba495e2804d81a76db;1;tbsp;olive oil;Condiment
7b4a75c7a63924bacb2a;2;tbsp;olive oil;Condiment
6a273fc5bda281a1050d;1;tbsp;olive oil;Condiment
15b882b5e7589eb10aab;1;tbsp;olive oil;Condiment
